entity,type,start,end,weeks,intensity,peak
Cloudflare,COMP,2020-11-02,2022-04-04,75,103.8,2021-07-26
Microsoft,COMP,2022-11-28,2023-03-27,18,103.2,2023-01-23
Facebook,COMP,2020-04-20,2020-09-21,23,103.2,2020-06-29
Investors,PERSON,2023-07-17,2023-12-11,22,101.0,2023-07-24
Apple,COMP,2023-06-05,2023-10-30,22,100.4,2023-10-30
Dividend History,CONCEPT,2019-05-27,2019-09-23,18,100.1,2019-06-10
Trade War,EVENT,2018-03-19,2019-12-09,91,100.1,2018-06-18
Occidental Petroleum,COMP,2020-02-24,2020-12-14,43,99.4,2020-02-24
Healthcare Sector,SECTOR,2019-07-15,2020-03-23,37,99.3,2019-09-16
Starbucks Corporation,COMP,2017-01-16,2019-03-18,114,98.7,2017-01-23
Boeing,COMP,2019-03-11,2019-07-29,21,98.7,2019-03-11
Tilray,COMP,2018-08-27,2019-11-11,64,98.1,2019-03-18
ExxonMobil,COMP,2019-08-26,2020-06-29,45,97.5,2019-12-30
Earnings ESP,CONCEPT,2017-01-09,2017-02-20,7,97.0,2017-01-30
Workhorse Group,COMP,2020-06-15,2021-03-08,39,97.0,2020-09-14
VettaFi,ORG,2022-12-12,2023-12-11,53,97.0,2022-12-12
Penn National Gaming,COMP,2020-03-30,2021-08-16,73,96.4,2021-08-16
Nvidia,COMP,2021-09-27,2022-02-21,22,96.4,2021-11-15
Analyst Target Price,ECON_INDICATOR,2019-04-15,2019-10-07,26,96.1,2019-05-06
Earnings Per Share,ECON_INDICATOR,2018-10-22,2018-11-26,6,95.5,2018-11-05
Analysts,PERSON,2020-10-19,2021-11-22,58,94.5,2021-05-03
Wells Fargo,COMP,2019-12-16,2020-11-09,48,93.2,2020-07-20
Sundial Growers,COMP,2020-11-02,2022-01-10,63,93.1,2021-01-04
5G,CONCEPT,2019-04-08,2020-11-16,85,92.8,2019-12-09
Hexo,COMP,2019-04-08,2019-12-09,36,92.3,2019-12-02
Free Cash Flow,ECON_INDICATOR,2021-05-03,2022-02-07,41,92.3,2022-01-24
Peloton,COMP,2020-08-31,2022-04-25,87,91.4,2020-09-07
Fed,ORG/REG,2023-06-19,2023-12-11,26,91.4,2023-09-18
