entity,type,start,end,weeks,intensity,peak
Zebra Technologies Corporation,COMP,2022-02-07,2022-06-06,18,19.5,2022-02-07
Consumer Discretionary,SECTOR,2019-07-08,2019-07-29,4,19.5,2019-07-22
Advanced Micro Devices Inc,COMP,2020-05-11,2020-10-26,25,19.5,2020-10-26
Ecolab,COMP,2020-02-24,2020-10-05,33,19.5,2020-02-24
Margins,CONCEPT,2017-09-04,2018-04-30,35,19.5,2017-09-11
"Motorola Solutions, Inc.",COMP,2018-04-30,2019-03-11,46,19.5,2018-06-11
S.A.F.E. Dividend Stocks,CONCEPT,2018-10-01,2020-02-24,74,19.5,2018-10-01
Streaming Market,SECTOR,2019-05-13,2020-11-02,78,19.5,2020-09-14
3M Company,COMP,2018-04-16,2018-05-28,7,19.5,2018-05-21
Liberty Property Trust,COMP,2017-05-22,2018-09-03,68,19.4,2017-05-22
Devon Energy Corp,COMP,2020-04-20,2020-11-30,33,19.4,2020-09-28
Chinese Economy,CONCEPT,2017-01-30,2017-02-13,3,19.4,2017-02-13
Nordstrom,COMP,2018-03-19,2018-07-16,18,19.4,2018-05-21
"Apogee Enterprises, Inc.",COMP,2017-06-26,2018-12-31,80,19.4,2018-12-17
Boeing 737 MAX,PRODUCT,2019-03-11,2021-02-22,103,19.4,2019-04-08
Food Industry,SECTOR,2017-11-27,2019-08-05,89,19.4,2019-07-15
Traders,PERSON,2023-07-24,2023-11-06,16,19.4,2023-07-24
Shopify,COMP,2021-02-15,2021-08-16,27,19.4,2021-08-16
SPDR S&P Semiconductor ETF,FIN_INSTRUMENT,2022-03-14,2023-12-11,92,19.4,2022-05-09
Regeneron Pharmaceuticals,COMP,2020-03-02,2021-04-26,61,19.3,2021-02-08
PayPal Holdings,COMP,2022-08-01,2022-08-01,1,19.3,2022-08-01
Instacart,COMP,2020-03-23,2021-01-11,43,19.3,2020-10-12
DISH Network,COMP,2020-12-14,2021-03-29,16,19.3,2021-01-18
Square,COMP,2021-10-25,2021-11-08,3,19.3,2021-11-08
Impinj,COMP,2019-01-14,2020-12-14,101,19.3,2019-02-11
"Big Lots, Inc.",COMP,2017-08-21,2018-12-31,72,19.3,2018-12-31
"Hartford Financial Services Group, Inc.",COMP,2017-11-27,2019-02-25,66,19.3,2018-02-05
Telemedicine,SECTOR,2019-08-19,2021-04-19,88,19.3,2020-06-08
Ford Motor Co.,COMP,2017-01-23,2017-08-28,32,19.3,2017-01-23
NYSE Financial Index,FIN_INSTRUMENT,2018-10-15,2020-05-04,82,19.3,2018-10-15
Google,COMP,2020-10-19,2020-11-09,4,19.3,2020-11-09
AMD,COMP,2023-10-09,2023-10-09,1,19.3,2023-10-09
Bluebird Bio,COMP,2020-09-07,2021-04-12,32,19.3,2020-11-02
BHP Group,COMP,2019-09-02,2019-09-09,2,19.3,2019-09-09
CSX Corporation,COMP,2019-07-08,2019-08-12,6,19.3,2019-08-12
Biogen,COMP,2021-05-31,2021-09-06,15,19.3,2021-06-14
REITs,SECTOR,2019-07-22,2019-09-16,9,19.3,2019-08-05
Chevron,COMP,2018-10-29,2018-11-05,2,19.2,2018-11-05
Russia,GPE,2020-03-09,2020-04-13,6,19.2,2020-03-23
TechTarget,COMP,2021-05-03,2021-09-20,21,19.2,2021-06-21
Marathon Oil Corp,COMP,2020-04-06,2021-08-09,71,19.2,2020-04-06
Texas Instruments,COMP,2020-03-16,2020-04-20,6,19.2,2020-03-16
Cronos Group,COMP,2020-06-08,2020-11-09,23,19.2,2020-06-08
"United Natural Foods, Inc.",COMP,2017-05-29,2018-06-11,55,19.2,2017-12-04
iShares U.S. Regional Banks ETF,FIN_INSTRUMENT,2023-07-24,2023-11-13,17,19.2,2023-07-24
American Express,COMP,2021-04-19,2021-07-19,14,19.2,2021-07-12
First Solar,COMP,2019-08-26,2019-12-16,17,19.2,2019-09-09
Fox Corp,COMP,2023-03-20,2023-09-18,27,19.2,2023-04-17
Chinese companies,COMP,2020-05-18,2021-12-13,83,19.2,2021-07-05
Accenture Plc,COMP,2017-06-05,2017-07-17,7,19.2,2017-07-17
Invesco QQQ Trust,FIN_INSTRUMENT,2021-11-29,2022-01-10,7,19.2,2022-01-10
Alphabet,COMP,2020-09-14,2020-09-21,2,19.2,2020-09-21
"Nike, Inc.",COMP,2017-02-06,2018-06-25,73,19.2,2017-05-29
Industrial Products Sector,SECTOR,2022-03-28,2023-02-20,48,19.2,2023-02-20
NATO,ORG/GOV,2018-07-09,2019-07-22,55,19.2,2018-07-09
Dividend Yield,CONCEPT,2023-09-18,2023-09-25,2,19.1,2023-09-25
Monday.com,COMP,2021-07-19,2022-11-28,72,19.1,2022-01-24
"KBR, Inc.",COMP,2018-09-24,2018-12-24,14,19.1,2018-11-26
Allergan,COMP,2019-04-01,2020-04-27,57,19.1,2019-06-24
Sherwin-Williams,COMP,2020-04-27,2020-10-12,25,19.1,2020-06-01
Pioneer Natural Resources,COMP,2020-10-19,2020-10-26,2,19.1,2020-10-19
3M,COMP,2020-12-07,2021-02-08,10,19.1,2021-01-25
KB Home,COMP,2018-09-17,2018-10-01,3,19.1,2018-09-17
Intel,COMP,2018-03-12,2018-04-23,7,19.1,2018-03-19
Homebuilders,SECTOR,2023-06-12,2023-11-06,22,19.1,2023-08-14
Preferred Stocks,FIN_INSTRUMENT,2017-09-25,2018-05-07,33,19.1,2018-05-07
HEXO,COMP,2020-11-02,2021-01-25,13,19.1,2021-01-25
"Diamondback Energy, Inc.",COMP,2018-11-05,2020-04-06,75,19.1,2019-02-18
Dividend Stocks,CONCEPT,2019-07-22,2019-09-02,7,19.1,2019-09-02
Revenue,ECON_INDICATOR,2019-04-15,2019-05-06,4,19.1,2019-04-22
Crocs,COMP,2021-04-26,2022-08-01,67,19.1,2022-08-01
Wells Fargo & Co,COMP,2022-04-11,2022-07-25,16,19.1,2022-05-16
iShares S&P 100 ETF,FIN_INSTRUMENT,2019-09-23,2020-05-04,33,19.1,2019-09-23
Retailers,SECTOR,2020-11-30,2020-12-14,3,19.0,2020-11-30
Ryanair,COMP,2020-05-04,2021-11-15,81,19.0,2021-09-06
Dollar Tree,COMP,2019-04-08,2019-12-09,36,19.0,2019-11-25
PBF Energy Inc,COMP,2020-01-06,2021-11-08,97,19.0,2020-08-10
Call Contract,FIN_INSTRUMENT,2020-12-28,2022-10-17,95,19.0,2021-09-27
Airbus,COMP,2021-11-15,2022-04-04,21,19.0,2022-04-04
Qualcomm,COMP,2018-11-05,2019-01-28,13,19.0,2018-11-05
Schlumberger Limited,COMP,2017-06-19,2018-02-19,36,19.0,2017-07-17
Axsome Therapeutics,COMP,2019-11-25,2020-07-20,35,19.0,2019-12-23
Sports,SECTOR,2020-04-13,2020-11-30,34,19.0,2020-05-11
Александр Лукашенко,PERSON,2018-10-29,2019-12-02,58,18.9,2019-05-13
Shares,FIN_INSTRUMENT,2020-01-13,2020-01-27,3,18.9,2020-01-20
Bank of America,COMP,2019-04-08,2019-05-20,7,18.9,2019-04-08
Florida,GPE,2022-09-19,2022-09-26,2,18.9,2022-09-26
Bunge,COMP,2023-06-12,2023-06-12,1,18.9,2023-06-12
Trimble Inc.,COMP,2021-03-29,2022-08-08,72,18.9,2021-12-06
Campbell Soup Co,COMP,2020-04-20,2020-12-07,34,18.9,2020-12-07
Energy Shares,FIN_INSTRUMENT,2017-02-06,2017-09-25,34,18.9,2017-02-06
Urban Outfitters Inc.,COMP,2017-03-06,2018-11-19,90,18.9,2017-03-06
Augmented Reality,CONCEPT,2017-04-03,2018-09-17,77,18.9,2018-09-03
Vanguard Total International Stock ETF,FIN_INSTRUMENT,2023-08-21,2023-12-04,16,18.9,2023-08-21
Halliburton,COMP,2021-07-19,2021-10-18,14,18.9,2021-10-18
Boeing Company,COMP,2017-06-26,2018-11-05,72,18.9,2018-11-05
Viacom,COMP,2019-05-20,2019-08-05,12,18.9,2019-06-10
Sea,COMP,2020-06-29,2021-05-17,47,18.9,2020-06-29
Research and Development,CONCEPT,2020-01-27,2021-04-26,66,18.9,2020-02-10
Energy sector,SECTOR,2021-03-29,2022-09-26,79,18.9,2022-01-10
PEG Ratio,CONCEPT,2022-01-10,2023-01-30,56,18.9,2022-06-27
Delta Air Lines Inc,COMP,2020-04-13,2020-12-21,37,18.9,2020-10-05
Core Laboratories,COMP,2019-06-03,2022-04-25,152,18.9,2020-09-21
Fluor Corporation,COMP,2022-02-21,2023-04-17,61,18.8,2023-02-20
Mylan,COMP,2019-05-06,2020-05-25,56,18.8,2020-01-20
Earnings Surprise,CONCEPT,2022-10-17,2022-11-07,4,18.8,2022-10-17
Berkshire Hathaway,COMP,2019-05-13,2019-05-20,2,18.8,2019-05-13
Abbott Laboratories,COMP,2022-10-10,2023-01-23,16,18.8,2022-10-17
Insiders,PERSON,2022-07-25,2022-10-10,12,18.8,2022-08-08
Levi Strauss & Co.,COMP,2021-07-26,2022-05-30,45,18.8,2022-04-04
Jefferies,ORG,2019-12-23,2021-10-11,95,18.8,2021-10-11
Thermo Fisher Scientific,COMP,2022-04-18,2023-10-30,81,18.8,2022-04-25
Northrop Grumman Corp,COMP,2019-05-13,2020-02-17,41,18.8,2020-02-17
Netflix,COMP,2022-04-11,2022-05-09,5,18.7,2022-04-18
"Greif, Inc.",COMP,2021-10-11,2022-09-19,50,18.7,2021-12-06
Global Net Lease,COMP,2021-12-27,2022-03-14,12,18.7,2022-02-07
Genuine Parts Company,COMP,2017-09-25,2018-06-04,37,18.7,2018-03-05
Procter & Gamble,COMP,2023-10-16,2023-11-27,7,18.7,2023-10-16
SPDR S&P Oil & Gas Exploration & Production ETF,FIN_INSTRUMENT,2023-07-24,2023-11-20,18,18.7,2023-10-16
Capri Holdings Ltd,COMP,2019-02-04,2020-11-02,92,18.7,2020-04-06
Dow Jones Industrial Average,FIN_INSTRUMENT,2017-10-23,2017-10-30,2,18.7,2017-10-23
Arm,COMP,2023-06-12,2023-09-11,14,18.7,2023-09-11
Gold,PRODUCT,2020-08-03,2020-08-17,3,18.7,2020-08-10
Axalta Coating Systems Ltd,COMP,2019-03-18,2020-05-18,62,18.7,2020-05-04
California,GPE,2021-10-11,2021-12-13,10,18.7,2021-10-11
Associated Banc-Corp,COMP,2017-10-16,2018-10-15,53,18.7,2018-10-15
Advisors,PERSON,2022-06-13,2023-11-20,76,18.7,2022-06-13
Xilinx,COMP,2020-09-28,2020-12-28,14,18.7,2020-10-05
iShares Core High Dividend ETF,FIN_INSTRUMENT,2023-08-07,2023-11-06,14,18.7,2023-08-21
Five9,COMP,2021-07-19,2022-10-10,65,18.7,2022-10-10
Banks,ORG,2018-04-09,2018-05-21,7,18.7,2018-04-09
Earnings Per Share,ECON_INDICATOR,2022-07-25,2022-08-15,4,18.6,2022-08-08
Cash,ECON_INDICATOR,2021-04-05,2021-12-06,36,18.6,2021-11-01
Ulta Beauty,COMP,2017-03-06,2017-05-22,12,18.6,2017-05-22
Nucor,COMP,2020-09-07,2021-04-12,32,18.6,2021-03-22
Edison International,COMP,2017-09-18,2018-04-30,33,18.6,2017-09-25
Johnson & Johnson,COMP,2018-04-09,2018-04-09,1,18.6,2018-04-09
Enterprise Products Partners,COMP,2019-07-29,2020-03-02,32,18.6,2019-08-05
Earnings Miss,CONCEPT,2018-10-08,2019-02-18,20,18.6,2018-10-22
Better-than-expected earnings,CONCEPT,2017-08-14,2019-06-10,96,18.6,2017-10-16
Synchrony Financial,COMP,2020-04-13,2021-03-29,51,18.6,2021-03-29
Nutrien Ltd.,COMP,2018-02-26,2018-12-24,44,18.6,2018-05-07
S&P 500,FIN_INSTRUMENT,2019-11-04,2019-11-04,1,18.6,2019-11-04
"Tapestry, Inc.",COMP,2017-11-06,2019-02-04,66,18.6,2017-11-06
First Trust Cloud Computing ETF,FIN_INSTRUMENT,2022-02-14,2022-07-18,23,18.6,2022-07-18
Dividend Income,CONCEPT,2020-08-17,2020-09-14,5,18.5,2020-09-14
Shift4 Payments,COMP,2020-06-15,2021-03-08,39,18.5,2021-03-08
Analog Devices Inc.,COMP,2017-04-17,2018-07-09,65,18.5,2018-07-09
Barrick Gold,COMP,2019-02-04,2019-07-29,26,18.5,2019-06-17
JPMorgan,COMP,2023-10-02,2023-10-16,3,18.5,2023-10-16
Virtual Reality,CONCEPT,2017-02-06,2018-03-26,60,18.5,2017-04-24
Nektar Therapeutics,COMP,2018-01-08,2018-06-04,22,18.5,2018-06-04
S&P 500 Index,FIN_INSTRUMENT,2020-08-03,2020-08-10,2,18.5,2020-08-03
Global Markets,FIN_INSTRUMENT,2023-10-02,2023-10-09,2,18.5,2023-10-02
Utilities,SECTOR,2017-04-17,2017-09-25,24,18.5,2017-05-15
Devon Energy,COMP,2023-04-03,2023-12-11,37,18.5,2023-12-11
Ericsson,COMP,2017-07-10,2017-07-17,2,18.5,2017-07-17
Economy,CONCEPT,2023-07-24,2023-10-02,11,18.5,2023-09-18
Exelixis,COMP,2017-02-20,2017-08-21,27,18.5,2017-02-20
Brent crude,PRODUCT,2018-02-19,2020-09-14,135,18.5,2019-07-01
Colgate-Palmolive Co.,COMP,2017-01-23,2017-10-23,40,18.5,2017-10-23
Fidelity MSCI Information Technology Index ETF,FIN_INSTRUMENT,2023-07-24,2023-11-20,18,18.5,2023-10-23
Stock Price,FIN_INSTRUMENT,2020-09-14,2020-09-14,1,18.4,2020-09-14
AGCO Corp,COMP,2019-04-29,2021-04-26,105,18.4,2021-04-19
Thermo Fisher Scientific Inc.,COMP,2018-01-15,2018-11-05,43,18.4,2018-01-15
Consolidated Edison Inc,COMP,2019-11-25,2020-08-24,40,18.4,2020-03-23
Unemployment Rate,ECON_INDICATOR,2020-04-06,2020-11-23,34,18.4,2020-04-06
Commodities,CONCEPT,2017-08-07,2018-05-14,41,18.4,2018-03-05
Corning,COMP,2020-12-14,2021-02-22,11,18.4,2020-12-14
President Donald Trump,PERSON,2020-04-13,2020-12-28,38,18.4,2020-09-28
Camping World Holdings,COMP,2020-08-03,2021-04-26,39,18.4,2020-08-03
Commerce Department,ORG/GOV,2022-08-29,2023-05-08,37,18.4,2022-09-12
Yum China,COMP,2017-07-10,2019-01-28,82,18.4,2017-07-10
Earnings,ECON_INDICATOR,2022-11-28,2022-12-05,2,18.4,2022-12-05
Owens Corning,COMP,2022-10-24,2023-02-27,19,18.4,2022-10-24
Xcel Energy Inc.,COMP,2017-12-25,2019-02-11,60,18.4,2017-12-25
Caterpillar Inc,COMP,2020-04-13,2021-11-08,83,18.4,2020-04-27
Agnico Eagle Mines Ltd,COMP,2018-10-22,2020-02-24,71,18.4,2018-10-22
Alibaba Group Holding,COMP,2018-11-05,2019-05-20,29,18.3,2018-11-05
Consumer Demand,CONCEPT,2020-05-25,2022-11-28,132,18.3,2020-06-01
Franco-Nevada Corporation,COMP,2017-05-08,2019-01-28,91,18.3,2017-10-30
Wells Fargo,COMP,2022-03-28,2022-04-11,3,18.3,2022-04-11
Wells Fargo,COMP,2019-03-25,2019-04-08,3,18.3,2019-04-08
Tax Rate,ECON_INDICATOR,2017-02-06,2019-01-07,101,18.3,2017-12-18
Fossil Group,COMP,2018-12-03,2019-02-04,10,18.3,2018-12-03
U.S. Treasury Yields,ECON_INDICATOR,2023-03-20,2023-11-20,36,18.3,2023-04-03
iShares Core S&P Total U.S. Stock Market ETF,FIN_INSTRUMENT,2019-04-01,2019-09-30,27,18.3,2019-04-01
Interest Rate Hikes,CONCEPT,2021-06-21,2023-11-06,125,18.3,2022-11-28
Revenues,ECON_INDICATOR,2018-01-29,2018-02-19,4,18.3,2018-01-29
New York,GPE,2020-03-09,2020-06-22,16,18.3,2020-04-06
Charles Schwab,COMP,2019-09-30,2020-06-22,39,18.3,2020-04-20
Cardano,PRODUCT,2021-03-08,2023-03-13,106,18.3,2021-03-08
Hawaiian Airlines,COMP,2017-03-06,2017-06-19,16,18.3,2017-05-22
Federal Reserve,ORG/REG,2020-03-16,2020-03-30,3,18.3,2020-03-30
Cboe Global Markets Inc,COMP,2019-11-25,2020-04-27,23,18.3,2020-04-27
Dominion Energy,COMP,2018-11-05,2019-05-27,30,18.2,2019-02-18
Earnings Beat,CONCEPT,2023-01-16,2023-02-27,7,18.2,2023-01-23
Dividend Yield,CONCEPT,2021-07-26,2021-08-16,4,18.2,2021-08-02
Insider Selling,CONCEPT,2022-07-18,2022-10-10,13,18.2,2022-08-08
Alnylam Pharmaceuticals,COMP,2019-12-02,2020-09-07,41,18.2,2020-05-18
VGM Score,CONCEPT,2017-06-26,2018-12-03,76,18.2,2017-06-26
Apple,COMP,2019-05-27,2019-06-17,4,18.2,2019-06-03
Hulu,PRODUCT,2020-10-19,2020-11-16,5,18.2,2020-11-16
SINA,COMP,2019-04-08,2019-08-19,20,18.2,2019-04-15
Петр Порошенко,PERSON,2017-01-09,2017-05-29,21,18.2,2017-01-30
Vanguard Small-Cap Growth ETF,FIN_INSTRUMENT,2023-07-17,2023-11-13,18,18.2,2023-09-18
PPG Industries,COMP,2019-10-28,2020-05-18,30,18.2,2019-11-25
Citigroup,COMP,2019-09-23,2019-10-07,3,18.2,2019-10-07
Mondelez International,COMP,2017-08-07,2018-06-11,45,18.2,2018-06-11
Sage Therapeutics,COMP,2020-06-08,2021-03-22,42,18.2,2020-06-08
Stocks,FIN_INSTRUMENT,2021-11-22,2021-11-29,2,18.2,2021-11-22
Options Trading Volume,FIN_INSTRUMENT,2023-11-27,2023-12-11,3,18.2,2023-12-11
Exxon Mobil,COMP,2017-04-17,2017-04-24,2,18.2,2017-04-24
Fomento Economico Mexicano S.A.B. de C.V.,COMP,2018-02-26,2019-02-25,53,18.2,2019-02-25
iShares Core High Dividend ETF,FIN_INSTRUMENT,2020-01-27,2020-04-13,12,18.2,2020-02-24
Earnings Growth,CONCEPT,2018-04-09,2018-05-14,6,18.2,2018-04-30
Earnings Growth,CONCEPT,2017-11-13,2017-12-18,6,18.2,2017-12-18
Vanguard Dividend Appreciation ETF,FIN_INSTRUMENT,2023-07-24,2023-12-11,21,18.2,2023-08-07
Германия,GPE,2019-03-18,2019-12-09,39,18.2,2019-11-18
SEC,ORG/REG,2021-08-30,2022-05-16,38,18.2,2021-09-13
SoFi Technologies,COMP,2023-11-13,2023-12-11,5,18.1,2023-12-04
Allison Transmission Holdings,COMP,2021-02-08,2022-05-23,68,18.1,2022-05-23
Walgreens Boots Alliance,COMP,2021-01-04,2021-02-01,5,18.1,2021-01-11
Pacific Gas & Electric Co.,COMP,2017-03-27,2019-02-25,101,18.1,2017-03-27
Gold Price,ECON_INDICATOR,2020-02-17,2021-01-04,47,18.1,2020-02-17
iShares Russell 1000 ETF,FIN_INSTRUMENT,2023-07-17,2023-11-20,19,18.1,2023-08-28
Colgate-Palmolive Co,COMP,2020-07-27,2022-02-28,84,18.1,2022-02-28
Twitter,COMP,2022-04-25,2022-05-16,4,18.1,2022-04-25
Walt Disney Company,COMP,2020-12-14,2022-05-30,77,18.1,2020-12-14
MGM Resorts International,COMP,2021-10-04,2021-12-06,10,18.1,2021-10-04
Enterprise Products Partners,COMP,2022-05-23,2022-07-18,9,18.1,2022-07-11
Microsoft,COMP,2019-06-10,2019-06-17,2,18.1,2019-06-10
Norwegian Cruise Line Holdings Ltd,COMP,2020-04-13,2020-11-23,33,18.1,2020-04-13
Amazon.com Inc,COMP,2023-01-23,2023-04-24,14,18.1,2023-03-20
Western Alliance Bancorporation,COMP,2021-05-10,2023-11-27,134,18.1,2021-10-18
Capital Markets,SECTOR,2020-05-11,2021-10-11,75,18.1,2021-02-22
Vanguard Extended Market ETF,FIN_INSTRUMENT,2022-07-18,2023-12-11,74,18.1,2023-12-11
Retail Industry,SECTOR,2017-01-30,2017-09-25,35,18.0,2017-06-26
Ron Gross,PERSON,2023-04-24,2023-06-05,7,18.0,2023-04-24
Lockheed Martin,COMP,2023-10-09,2023-12-11,10,18.0,2023-10-16
NVIDIA Corp,COMP,2023-07-24,2023-12-11,21,18.0,2023-07-24
"Intercontinental Exchange, Inc.",COMP,2017-03-06,2018-04-30,61,18.0,2018-04-02
НАТО,ORG,2017-01-23,2017-06-19,22,18.0,2017-02-13
Commercial Metals Company,COMP,2021-12-20,2023-01-16,57,18.0,2022-04-18
"Walgreens Boots Alliance, Inc.",COMP,2017-09-18,2018-07-02,42,18.0,2018-01-01
Qorvo,COMP,2017-10-30,2018-06-18,34,18.0,2018-01-08
Home Depot Inc,COMP,2020-04-27,2021-05-17,56,18.0,2020-05-18
MicroStrategy,COMP,2020-12-14,2022-06-13,79,18.0,2022-06-13
Recession,CONCEPT,2023-07-24,2023-11-20,18,18.0,2023-10-16
Wingstop Inc.,COMP,2018-04-23,2018-06-18,9,18.0,2018-06-11
Expedia Group Inc,COMP,2018-06-04,2020-06-22,108,18.0,2018-06-04
S&P 500 Index,FIN_INSTRUMENT,2019-04-01,2019-04-22,4,18.0,2019-04-08
Dollar Index,FIN_INSTRUMENT,2023-07-17,2023-11-20,19,18.0,2023-07-17
T. Rowe Price,COMP,2020-01-13,2020-01-13,1,17.9,2020-01-13
EPR Properties,COMP,2021-06-28,2022-01-03,28,17.9,2021-06-28
McDonald's Corp,COMP,2020-04-06,2022-03-07,101,17.9,2022-01-24
XHB,FIN_INSTRUMENT,2023-06-26,2023-06-26,1,17.9,2023-06-26
NIO Inc.,COMP,2020-08-03,2022-10-31,118,17.9,2022-07-04
Stock price,FIN_INSTRUMENT,2023-07-03,2023-07-31,5,17.9,2023-07-03
Philip Morris International Inc.,COMP,2017-04-17,2018-02-05,43,17.9,2018-02-05
Pioneer Natural Resources,COMP,2019-06-03,2019-09-02,14,17.9,2019-06-03
Steelcase,COMP,2023-09-18,2023-09-18,1,17.9,2023-09-18
Emerson Electric Co.,COMP,2017-10-30,2018-04-23,26,17.9,2018-04-23
ARK Genomic Revolution ETF,FIN_INSTRUMENT,2021-03-08,2022-01-03,44,17.9,2021-11-22
Biogen Inc,COMP,2019-10-07,2020-08-03,44,17.9,2020-04-20
iShares Core S&P Total U.S. Stock Market ETF,FIN_INSTRUMENT,2023-07-24,2023-10-30,15,17.9,2023-10-30
Cryptocurrencies,CONCEPT,2020-11-30,2021-06-21,30,17.9,2021-03-15
"United Rentals, Inc.",COMP,2018-11-05,2018-11-05,1,17.9,2018-11-05
Valero Energy Corp,COMP,2020-04-27,2022-01-24,92,17.9,2021-01-04
U.S.,GPE,2017-03-06,2017-05-01,9,17.9,2017-04-17
WestRock Co,COMP,2019-04-15,2020-08-24,72,17.9,2020-05-04
T-Mobile,COMP,2019-05-20,2019-07-29,11,17.9,2019-05-20
Pfizer Inc,COMP,2021-11-01,2022-01-10,11,17.9,2022-01-10
Earnings ESP,CONCEPT,2023-01-16,2023-02-06,4,17.9,2023-02-06
Hormel,COMP,2020-11-16,2020-11-16,1,17.9,2020-11-16
U.S. Bancorp,COMP,2017-09-18,2017-10-16,5,17.8,2017-10-16
Turtle Beach,COMP,2018-09-24,2019-07-29,45,17.8,2019-02-04
WeChat,PRODUCT,2020-06-22,2020-10-05,16,17.8,2020-09-14
Insurance,SECTOR,2017-01-02,2017-05-01,18,17.8,2017-04-24
Earnings Release,EVENT,2022-01-10,2023-02-20,59,17.8,2022-07-18
Sysco Corporation,COMP,2022-04-04,2022-04-04,1,17.8,2022-04-04
Advanced Micro Devices,COMP,2020-07-06,2020-08-03,5,17.8,2020-08-03
Walgreens Boots Alliance Inc,COMP,2021-08-02,2021-10-25,13,17.8,2021-09-27
Tetra Tech,COMP,2018-08-27,2018-12-03,15,17.8,2018-08-27
Datadog,COMP,2021-10-04,2021-12-13,11,17.8,2021-10-18
Barrick Gold,COMP,2018-04-02,2018-04-16,3,17.8,2018-04-16
Editas Medicine,COMP,2019-11-25,2020-03-09,16,17.8,2019-12-16
New York City,GPE,2020-04-06,2021-05-10,58,17.8,2021-04-19
Theme Parks,SECTOR,2020-03-23,2020-12-14,39,17.8,2020-04-13
Guess,COMP,2017-03-13,2017-03-13,1,17.8,2017-03-13
Welltower Inc.,COMP,2017-01-30,2018-11-05,93,17.8,2017-01-30
PG&E,COMP,2019-06-17,2020-07-27,59,17.7,2019-09-16
Walmart,COMP,2020-08-03,2020-08-31,5,17.7,2020-08-17
Europe,GPE,2017-01-02,2017-02-13,7,17.7,2017-01-30
CTX001,PRODUCT,2018-09-03,2020-02-24,78,17.7,2019-11-25
Organigram Holdings,COMP,2020-01-13,2020-01-27,3,17.7,2020-01-27
Airbus,COMP,2019-01-14,2019-04-08,13,17.7,2019-04-08
CBS,COMP,2019-05-20,2019-08-05,12,17.7,2019-06-24
Energy Companies,COMP,2018-07-02,2020-04-27,96,17.7,2019-04-08
Nike,COMP,2021-03-22,2021-03-29,2,17.7,2021-03-22
Weibo Corp,COMP,2017-08-07,2018-03-05,31,17.7,2018-03-05
Semiconductor Sector,SECTOR,2022-12-19,2023-01-23,6,17.7,2023-01-23
United States Government,ORG/GOV,2020-03-16,2021-03-08,52,17.7,2020-05-04
VF Corp,COMP,2019-06-24,2020-05-11,47,17.7,2019-06-24
"Universal Health Services, Inc.",COMP,2017-12-25,2018-06-25,27,17.7,2018-02-26
Real Estate,SECTOR,2021-07-12,2021-12-20,24,17.7,2021-07-19
Rockwell Automation,COMP,2019-02-25,2019-09-16,30,17.6,2019-04-29
Public Investment Fund,ORG,2021-11-15,2022-09-26,46,17.6,2022-08-15
Chipotle Mexican Grill,COMP,2017-01-30,2017-05-08,15,17.6,2017-01-30
China,GPE,2017-05-22,2017-05-22,1,17.6,2017-05-22
Ecolab Inc.,COMP,2022-01-10,2023-02-13,58,17.6,2022-01-10
Market Returns,ECON_INDICATOR,2021-04-19,2022-01-10,39,17.6,2021-05-24
KeyCorp,COMP,2017-01-09,2017-07-31,30,17.6,2017-07-17
Boyd Gaming,COMP,2020-05-11,2021-03-29,47,17.6,2021-01-11
Occidental Petroleum,COMP,2022-06-27,2022-08-22,9,17.6,2022-06-27
Bank of Canada,ORG/GOV,2022-11-28,2023-12-04,54,17.6,2022-12-12
Trefis,ORG,2019-07-15,2020-01-13,27,17.6,2019-09-09
Home Depot,COMP,2019-07-15,2019-08-19,6,17.6,2019-08-19
AMC Entertainment Holdings Inc.,COMP,2020-07-27,2020-10-19,13,17.6,2020-08-03
PG&E Corp,COMP,2018-12-31,2020-10-12,94,17.6,2019-01-28
Suncor Energy Inc.,COMP,2017-07-24,2018-06-04,46,17.6,2017-07-24
Invesco QQQ ETF,FIN_INSTRUMENT,2023-07-24,2023-09-25,10,17.6,2023-09-18
Fifth Third Bancorp,COMP,2023-07-10,2023-11-06,18,17.6,2023-10-16
Occidental Petroleum Corp.,COMP,2018-12-10,2019-07-15,32,17.6,2019-04-29
Investment Services,SECTOR,2020-02-03,2021-05-03,66,17.6,2020-02-03
Hologic Inc,COMP,2020-01-06,2021-05-10,71,17.6,2021-05-10
Invesco Water Resources ETF,FIN_INSTRUMENT,2023-02-20,2023-11-20,40,17.6,2023-08-28
Vipshop,COMP,2019-05-27,2020-03-02,41,17.6,2019-05-27
SPDR Portfolio S&P 500 High Dividend ETF,FIN_INSTRUMENT,2022-12-19,2023-11-27,50,17.6,2023-08-28
Activision Blizzard,COMP,2020-08-03,2020-11-09,15,17.6,2020-11-09
Earnings Surprise History,CONCEPT,2022-01-17,2023-02-20,58,17.6,2022-01-17
CIBC,COMP,2020-03-30,2021-09-06,76,17.5,2020-05-25
European Union,GPE,2022-02-28,2022-07-25,22,17.5,2022-07-25
Workday Inc.,COMP,2017-11-27,2018-06-11,29,17.5,2018-03-19
"Air Products and Chemicals, Inc.",COMP,2022-05-30,2023-05-01,49,17.5,2022-05-30
Cannabis,SECTOR,2021-01-04,2021-04-05,14,17.5,2021-04-05
Value Score,CONCEPT,2017-02-13,2019-03-18,110,17.5,2018-04-02
Oracle,COMP,2018-03-19,2018-03-26,2,17.5,2018-03-19
